,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,psnm:000,umes:925,umes:850,umes:500,agpl:925,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESDTC_20230216002023030300T.scan,5,120,-0.149,-0.187,-0.465,-0.195,-0.485,-0.58,-0.35,0.0,0.0,0.0,0.679,-2.636,-6.998,-13.545,0.007,-0.038,0.007,0.068,0.031,-0.179
VIESDTC_20230216002023030300T.scan,6,144,-0.171,-0.215,-0.538,-0.223,-0.56,-0.68,-0.393,0.0,0.0,0.0,0.738,-2.935,-7.909,-17.002,0.016,0.006,0.078,0.074,0.018,-0.139
VIESDTC_20230216002023030300T.scan,7,168,-0.195,-0.248,-0.627,-0.257,-0.649,-0.702,-0.476,0.0,0.0,0.0,0.767,-3.606,-9.315,-20.146,0.053,0.097,0.197,0.057,0.026,-0.159
VIESDTC_20230216002023030300T.scan,8,192,-0.243,-0.298,-0.697,-0.307,-0.72,-0.717,-0.562,0.0,0.0,0.0,0.78,-4.391,-10.809,-22.831,0.092,0.133,0.259,0.05,0.039,-0.13
VIESDTC_20230216002023030300T.scan,9,216,-0.296,-0.363,-0.738,-0.369,-0.761,-0.742,-0.61,-0.0,0.0,0.0,0.772,-4.883,-11.834,-24.26,0.054,0.163,0.24,0.097,0.042,-0.101
VIESDTC_20230216002023030300T.scan,10,240,-0.347,-0.422,-0.783,-0.428,-0.804,-0.738,-0.618,-0.0,0.0,0.0,0.768,-5.043,-12.452,-25.379,0.049,0.166,0.188,0.07,0.042,-0.101
VIESDTC_20230216002023030300T.scan,11,264,-0.364,-0.445,-0.823,-0.453,-0.844,-0.775,-0.59,0.0,0.0,0.0,0.775,-4.833,-12.509,-26.366,0.042,0.171,0.228,0.085,0.043,-0.102
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,-0.202,-0.244,-0.099,-0.249,-0.106,0.039,-0.036,0.0,0.0,0.0,0.252,-0.744,-2.874,0.238,-0.023,0.001,-0.24,-0.042,0.054,-0.059
VIESBAMH_20230216002023030300T.scan,2,48,-0.27,-0.353,-0.126,-0.36,-0.139,0.069,-0.16,-0.0,0.0,0.0,0.443,-1.732,-4.848,1.559,0.062,0.006,-0.307,0.017,0.056,0.022
VIESBAMH_20230216002023030300T.scan,3,72,-0.281,-0.374,-0.14,-0.384,-0.158,0.049,-0.257,-0.0,0.0,0.0,0.605,-2.362,-5.902,1.789,0.13,0.041,-0.377,0.034,0.055,0.057
VIESBAMH_20230216002023030300T.scan,4,96,-0.302,-0.391,-0.173,-0.401,-0.195,0.001,-0.28,-0.0,0.0,0.0,0.731,-2.489,-6.467,1.689,0.091,0.004,-0.486,0.021,0.051,0.064
VIESBAMH_20230216002023030300T.scan,5,120,-0.297,-0.382,-0.21,-0.393,-0.235,-0.052,-0.346,0.0,0.0,0.0,0.828,-2.93,-7.145,0.467,0.103,-0.022,-0.522,0.039,0.065,0.041
VIESBAMH_20230216002023030300T.scan,6,144,-0.304,-0.39,-0.246,-0.401,-0.274,-0.098,-0.435,0.0,0.0,0.0,0.895,-3.524,-8.128,-1.429,0.137,0.044,-0.477,0.042,0.065,0.071
VIESBAMH_20230216002023030300T.scan,7,168,-0.322,-0.422,-0.304,-0.434,-0.333,-0.113,-0.477,0.0,0.0,0.0,0.944,-3.865,-9.042,-2.985,0.169,0.075,-0.408,0.062,0.055,0.079
VIESBAMH_20230216002023030300T.scan,8,192,-0.37,-0.467,-0.366,-0.479,-0.396,-0.101,-0.541,0.0,0.0,0.0,0.987,-4.485,-10.3,-4.241,0.195,0.106,-0.343,0.062,0.054,0.108
VIESBAMH_20230216002023030300T.scan,9,216,-0.433,-0.532,-0.4,-0.544,-0.431,-0.069,-0.581,0.0,0.0,0.0,1.004,-4.963,-11.259,-4.368,0.166,0.107,-0.34,0.046,0.045,0.125
VIESBAMH_20230216002023030300T.scan,10,240,-0.478,-0.578,-0.446,-0.59,-0.474,-0.013,-0.66,0.0,0.0,0.0,0.995,-5.633,-12.423,-4.83,0.157,0.138,-0.369,0.049,0.052,0.1
VIESBAMH_20230216002023030300T.scan,11,264,-0.505,-0.61,-0.539,-0.623,-0.567,0.003,-0.725,0.0,0.0,0.0,1.009,-6.11,-13.45,-6.825,0.188,0.226,-0.323,0.104,0.085,0.044
